SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
CC1COC(=O)C(C)O1,0,1,0,0,-60.949436,37.35963
CC1COC(=O)C1,0,1,0,0,-41.143322,13.061425
CC1COC(=O)C1(C)C,0,1,0,0,-18.674768,54.042637
CC1COC(=O)C1C,0,1,0,0,-61.23922,42.359596
CC1COC(=O)CC1C,0,1,0,0,-40.92362,13.353042
CC1COC(=O)CO1,0,1,0,0,-60.24058,3.3272812
CC1COC(=O)O1,0,1,0,0,-48.304512,13.32844
CC1COC(=O)OC1,0,1,0,0,-44.19985,13.982529
CC1COC(=O)OC1C,0,1,0,0,-48.190212,13.770665
CC1COC(C(C)C)C1,0,0,0,1,-14.392243,-28.337065
CC1COC(C(C)C)O1,0,0,0,1,-15.812908,-25.293095
CC1COC(C)(C)C1,0,0,0,1,4.5515895,10.970506
CC1COC(C)(C)C1=O,0,1,0,0,-23.46571,56.917942
CC1COC(C)(C)C1C,0,0,0,1,5.8978124,7.8025064
CC1COC(C)(C)CO1,0,0,0,1,2.286707,1.9129536
CC1COC(C)(C)O1,0,0,0,1,1.2085525,7.078485
CC1COC(C)(C)OC1,0,0,0,1,4.157231,9.146369
CC1COC(C)C(=O)C1,0,1,0,0,-61.21181,29.650782
CC1COC(C)C(=O)O1,0,1,0,0,-59.8347,22.570602
CC1COC(C)C(C)C1,0,0,0,1,-12.754536,-28.340267
CC1COC(C)C(C)O1,0,0,0,1,-16.668959,-25.129545
CC1COC(C)C1,0,0,0,1,-11.794107,-28.24922
CC1COC(C)C1(C)C,0,0,0,1,10.265128,-0.9798434
CC1COC(C)C1=O,0,1,0,0,-55.557964,33.966076
CC1COC(C)C1C,0,0,0,1,-35.971848,-29.466623
CC1COC(C)CO1,0,0,0,1,-12.829131,-25.10279
CC1COC(C)O1,0,0,0,1,-16.717968,-25.538635
CC1COC(C)OC1,0,0,0,1,-20.678747,-24.53121
CC1COCC(=O)C1,0,1,0,0,-41.59273,5.569731
CC1COCC(=O)C1C,0,1,0,0,-49.226795,38.144325
CC1COCC(=O)O1,0,1,0,0,-45.354534,4.2779784
CC1COCC(C)(C)C1,0,0,0,1,3.470054,-0.5366351
CC1COCC(C)(C)O1,0,0,0,1,3.04192,3.919507
CC1COCC(C)C1,0,0,0,1,-24.236748,-34.31632
CC1COCC(C)C1=O,0,1,0,0,-50.826363,36.782314
CC1COCC(C)C1C,0,0,0,1,-29.526672,-34.822365
CC1COCC(C)O1,0,0,0,1,-12.261755,-13.726493
CC1COCC1(C)C,0,0,0,1,7.823883,2.4357302
CC1COCC1=O,0,1,0,0,-49.7325,38.458305
CC1COCC1C,0,0,0,1,-29.361177,-34.96531
CC1COCCC1(C)C,0,0,0,1,7.1268535,2.0573251
CC1COCCC1=O,0,1,0,0,-50.55481,38.370094
CC1COCCO1,0,0,0,1,-18.312742,-33.767986
CC1COCO1,0,0,0,1,-18.289314,-34.263878
CC1COCOC1,0,0,0,1,-24.554182,-35.28022
CC1COCOC1(C)C,0,0,0,1,7.79359,6.1602035
CC1COCOC1=O,0,1,0,0,-52.37782,44.8786
CC1COCOC1C,0,0,0,1,-35.68994,-33.667824
CC1OC(=O)C(C)(C)O1,0,1,0,0,-22.510572,52.97062
CC1OC(=O)C(C)C1C,0,1,0,0,-49.404755,21.1078
CC1OC(=O)C(C)O1,0,1,0,0,-50.337227,23.779785
CC1OC(=O)CC1(C)C,0,1,0,0,-26.014048,51.97965
CC1OC(=O)OC(C)O1,0,1,0,0,-51.3678,21.264843
CC1OC(=O)OC1(C)C,0,1,0,0,-25.250317,51.95442
CC1OC(=O)OC1C,0,1,0,0,-51.02064,19.935299
CC1OC(C)(C)CC1=O,0,1,0,0,-25.461758,55.819977
CC1OC(C)(C)OC1=O,0,1,0,0,-24.653452,55.332134
CC1OC(C)(C)OC1C,0,0,0,1,-6.735716,5.3709226
CC1OC(C)C(C)(C)O1,0,0,0,1,-7.755092,4.0574746
CC1OC(C)C(C)C1=O,0,1,0,0,-48.63056,23.8876
CC1OC(C)C(C)C1C,0,0,0,1,-25.197487,-8.342001
CC1OC(C)C(C)O1,0,0,0,1,-24.617254,-9.354563
CC1OC(C)OC(C)O1,0,0,0,1,-24.348625,-9.003471
CC1OCC(=O)C(C)O1,0,1,0,0,-68.653755,25.469685
CC1OCC(=O)C1(C)C,0,1,0,0,-18.538744,54.58327
CC1OCC(=O)C1C,0,1,0,0,-64.936874,25.626116
CC1OCC(=O)CO1,0,1,0,0,-63.53116,10.016553
CC1OCC(=O)O1,0,1,0,0,-65.98475,10.343147
CC1OCC(=O)OC1C,0,1,0,0,-66.024284,10.04385
CC1OCC(C(C)C)O1,0,0,0,1,-15.780565,-27.498419
CC1OCC(C)(C)C1=O,0,1,0,0,-21.118061,57.479454
CC1OCC(C)(C)C1C,0,0,0,1,-0.37868774,-3.0759804
CC1OCC(C)(C)CO1,0,0,0,1,-0.037307568,-2.5883365
CC1OCC(C)(C)O1,0,0,0,1,-2.1804943,-0.15999615
CC1OCC(C)C(=O)O1,0,1,0,0,-61.620132,19.096733
CC1OCC(C)C(C)O1,0,0,0,1,-17.414381,-26.205236
CC1OCCC(=O)C1C,0,1,0,0,-64.713135,26.808426
CC1OCCC(=O)O1,0,1,0,0,-67.07943,11.377682
CC1OCCC(C)(C)O1,0,0,0,1,-1.659835,-0.25346217
CC1OCCC1(C)C,0,0,0,1,8.740896,-4.1801085
CC1OCCC1=O,0,1,0,0,-63.05472,30.241566
CC1OCCCC1(C)C,0,0,0,1,8.8036785,-3.9296246
CC1OCCCC1=O,0,1,0,0,-63.18333,30.183119
CC1OCCCO1,0,0,0,1,-25.394728,-25.670078
CC1OCCO1,0,0,0,1,-25.474646,-25.774784
CC1OCCOC1(C)C,0,0,0,1,11.250036,-1.809936
CC1OCCOC1=O,0,1,0,0,-62.22627,35.798428
CC1OCCOC1C,0,0,0,1,-27.365175,-27.058247
CC1OCOC(=O)C1C,0,1,0,0,-62.015205,34.79691
CC1OCOC(=O)O1,0,1,0,0,-70.30744,12.955657
CC1OCOC(C)(C)O1,0,0,0,1,0.057087116,1.102186
CC1OCOC(C)C1=O,0,1,0,0,-57.716473,34.3755
CC1OCOC(C)C1C,0,0,0,1,-29.16283,-28.381422
CC1OCOC(C)O1,0,0,0,1,-24.656494,-21.4842
CC1OCOC1(C)C,0,0,0,1,11.818261,-1.976933
CC1OCOC1=O,0,1,0,0,-62.040012,35.27792
CC1OCOC1C,0,0,0,1,-29.16348,-28.27525
CC1OCOCC1(C)C,0,0,0,1,8.42654,-1.3279188
CC1OCOCC1=O,0,1,0,0,-69.081116,28.780693
CC1OCOCO1,0,0,0,1,-25.18346,-22.73178
CCC(=O)C(C)(C)C,1,0,0,0,25.67636,26.7066
CCC(=O)C(C)(C)CC,1,0,0,0,25.069664,26.07589
CCC(=O)C(C)(C)OC,1,0,0,0,25.987127,25.54553
CCC(=O)C(C)C,1,0,0,0,73.26726,30.044847
CCC(=O)C(C)C(C)C,1,0,0,0,73.62018,29.783077
CCC(=O)C(C)CC,1,0,0,0,72.416824,28.64729
CCC(=O)C(C)COC,1,0,0,0,71.43062,26.013767
CCC(=O)C(C)OC,1,0,0,0,67.31425,28.286203
CCC(=O)C(CC)CC,1,0,0,0,74.09172,28.348759
CCC(=O)C(CC)OC,1,0,0,0,66.86843,25.15661
CCC(=O)C(OC)OC,1,0,0,0,67.52245,26.899204
CCC(=O)C1CCCC1,0,1,0,0,-9.797627,-67.46365
CCC(=O)C1CCCO1,0,1,0,0,-19.806145,-63.0013
CCC(=O)C1CCOC1,0,1,0,0,-11.316264,-67.39408
CCC(=O)C1COCO1,0,1,0,0,-17.037378,-65.31777
CCC(=O)C1OCCO1,0,1,0,0,-19.726116,-59.792454
CCC(=O)CC,1,0,0,0,25.286325,35.901833
CCC(=O)CC(C)(C)C,1,0,0,0,24.273153,34.78196
CCC(=O)CC(C)C,1,0,0,0,39.978832,17.464077
CCC(=O)CC(C)CC,1,0,0,0,40.64556,17.210175
CCC(=O)CC(C)OC,1,0,0,0,42.456123,16.743885
CCC(=O)CCC(C)C,1,0,0,0,39.172165,15.942111
CCC(=O)CCCOC,1,0,0,0,30.763124,40.627914
